  35  36  22   8  31  11  14  55  20  36  55  13  24  15  56  38  16  28  61  58
  15  26  45   8  41  53  37  57  59  60  29  29  41  46  44  35  52  61  24  26
  16  20  53  35   2   6   9  27  47  28  57   6  15   9  16  10  56   9  63  46
   9  15   3
  74  61  44 233  29 245 254  64 119  64 250 111  38 145  53  29 140 194 119  99
  55  86  48 110 142  95  48 120  61  66 252 252 245  88  62  41 124 249 246  68
 250 249  65  64 140 142  88 190 237  90 240  52  79 216  55  31 112 135  66  44
  99  57  68
  54  61  26   5  13  60   3  56  30  58  57   4  16  43  28  43   6  61  13  19
  56   8   4   9  45  32   9   7  14  52   4  38  40  27   3  26  51  54  40  29
  36  63  34  43   3  48  36  49  46  30   8  20  40  59  29  28  17  11   8  19
  11  63   5
  38  25  35   8  28   0   0  60  60  25   0  31  28  52  14  24   9  30  18  54
  49  55  48  15  27  54  26  22  30  27   1   1   4  31  35  29  23   2   2  27
   0   1  25  32  21  84  28  19   5  60   2  27  15   9  39  23  42  12  29  17
  16  50  49
