  -12.8   1.000  -9.966 1.000000 0.000000
  -12.7   1.000  -9.966 1.000000 0.000000
  -12.6   1.000  -9.966 1.000000 0.000000
  -12.5   1.000  -9.966 1.000000 0.000000
  -12.4   1.000  -9.966 1.000000 0.000000
  -12.3   1.000  -9.966 1.000000 0.000000
  -12.2   1.000  -9.966 1.000000 0.000000
  -12.1   1.000  -9.966 1.000000 0.000000
  -12.0   1.000  -9.966 1.000000 0.000000
  -11.9   1.000  -9.966 1.000000 0.000000
  -11.8   1.000  -9.966 1.000000 0.000000
  -11.7   1.000  -9.966 1.000000 0.000000
  -11.6   1.000  -9.966 1.000000 0.000000
  -11.5   1.000  -9.966 1.000000 0.000000
  -11.4   1.000  -9.966 1.000000 0.000000
  -11.3   1.000  -9.966 1.000000 0.000000
  -11.2   1.000  -9.966 1.000000 0.000000
  -11.1   1.000  -9.966 1.000000 0.000000
  -11.0   1.000  -9.966 1.000000 0.000000
  -10.9   1.000  -9.966 1.000000 0.000000
  -10.8   1.000  -9.966 1.000000 0.000000
  -10.7   1.000  -9.966 1.000000 0.000000
  -10.6   1.000  -9.966 1.000000 0.000000
  -10.5   1.000  -9.966 1.000000 0.000000
  -10.4   1.000  -9.966 1.000000 0.000000
  -10.3   1.000  -9.966 1.000000 0.000000
  -10.2   1.000  -9.966 1.000000 0.000000
  -10.1   1.000  -9.966 1.000000 0.000000
  -10.0   1.000  -9.966 1.000000 0.000000
   -9.9   1.000  -9.966 1.000000 0.000000
   -9.8   1.000  -9.966 1.000000 0.000000
   -9.7   1.000  -9.966 1.000000 0.000000
   -9.6   1.000  -9.966 1.000000 0.000000
   -9.5   1.000  -9.966 1.000000 0.000000
   -9.4   1.000  -9.966 1.000000 0.000000
   -9.3   1.000  -9.966 1.000000 0.000000
   -9.2   1.000  -9.966 1.000000 0.000000
   -9.1   1.000  -9.966 1.000000 0.000000
   -9.0   1.000  -9.966 1.000000 0.000000
   -8.9   1.000  -9.966 1.000000 0.000000
   -8.8   1.000  -9.966 1.000000 0.000000
   -8.7   1.000  -9.966 1.000000 0.000000
   -8.6   1.000  -9.966 1.000000 0.000000
   -8.5   1.000  -9.966 1.000000 0.000000
   -8.4   1.000  -9.966 1.000000 0.000000
   -8.3   1.000  -9.966 1.000000 0.000000
   -8.2   1.000  -9.966 1.000000 0.000000
   -8.1   1.000  -9.966 1.000000 0.000000
   -8.0   1.000  -9.966 1.000000 0.000000
   -7.9   1.000  -9.966 1.000000 0.000000
   -7.8   1.000  -9.966 1.000000 0.000000
   -7.7   1.000  -9.966 1.000000 0.000000
   -7.6   1.000  -9.966 1.000000 0.000000
   -7.5   1.000  -9.966 1.000000 0.000000
   -7.4   1.000  -9.966 1.000000 0.000000
   -7.3   1.000  -9.966 1.000000 0.000000
   -7.2   1.000  -9.966 1.000000 0.000000
   -7.1   1.000  -9.966 1.000000 0.000000
   -7.0   1.000  -9.966 1.000000 0.000000
   -6.9   1.000  -9.966 1.000000 0.000000
   -6.8   1.000  -9.966 1.000000 0.000000
   -6.7   1.000  -9.966 1.000000 0.000000
   -6.6   1.000  -9.966 1.000000 0.000000
   -6.5   1.000  -9.966 1.000000 0.000000
   -6.4   1.000  -9.966 1.000000 0.000000
   -6.3   1.000  -9.966 1.000000 0.000000
   -6.2   1.000  -9.966 1.000000 0.000000
   -6.1   1.000  -9.966 1.000000 0.000000
   -6.0   1.000  -9.966 1.000000 0.000000
   -5.9   1.000  -9.966 1.000000 0.000000
   -5.8   1.000  -9.966 1.000000 0.000000
   -5.7   1.000  -9.966 1.000000 0.000000
   -5.6   1.000  -9.966 1.000000 0.000000
   -5.5   1.000  -9.966 1.000000 0.000000
   -5.4   1.000  -9.966 1.000000 0.000000
   -5.3   1.000  -9.966 1.000000 0.000000
   -5.2   1.000  -9.966 1.000000 0.000000
   -5.1   1.000  -9.966 1.000000 0.000000
   -5.0   1.000  -9.966 1.000000 0.000000
